Goods;City;Year;Value
Coal & coke;Port of Gdansk;2017;5083
Ores;Port of Gdansk;2017;93
Other bulk goods;Port of Gdansk;2017;3444
Grain;Port of Gdansk;2017;774
Wood;Port of Gdansk;2017;3
General cargo;Port of Gdansk;2017;18050
Oil;Port of Gdansk;2017;13168
Total;Port of Gdansk;2017;40614
Containers [TEU];Port of Gdansk;2017;1580508
Coal & coke;Port of Gdansk;2018;7186
Ores;Port of Gdansk;2018;10
Other bulk goods;Port of Gdansk;2018;3914
Grain;Port of Gdansk;2018;559
Wood;Port of Gdansk;2018;429
General cargo;Port of Gdansk;2018;21422
Oil;Port of Gdansk;2018;15512
Total;Port of Gdansk;2018;49032
Containers [TEU];Port of Gdansk;2018;1948974
Coal & coke;Port of Gdansk;2019;6771
Ores;Port of Gdansk;2019;14
Other bulk goods;Port of Gdansk;2019;4112
Grain;Port of Gdansk;2019;612
Wood;Port of Gdansk;2019;256
General cargo;Port of Gdansk;2019;22891
Oil;Port of Gdansk;2019;17498
Total;Port of Gdansk;2019;52154
Containers [TEU];Port of Gdansk;2019;2073215
Coal & coke;Port of Gdansk;2020;5659
Ores;Port of Gdansk;2020;534
Other bulk goods;Port of Gdansk;2020;4534
Grain;Port of Gdansk;2020;1499
Wood;Port of Gdansk;2020;12
General cargo;Port of Gdansk;2020;22109
Oil;Port of Gdansk;2020;13692
Total;Port of Gdansk;2020;48038
Containers [TEU];Port of Gdansk;2020;1923785
Coal & coke;Port of Gdynia;2017;2135
Ores;Port of Gdynia;2017;15
Other bulk goods;Port of Gdynia;2017;1079
Grain;Port of Gdynia;2017;3483
Wood;Port of Gdynia;2017;234
General cargo;Port of Gdynia;2017;12460
Oil;Port of Gdynia;2017;1819
Total;Port of Gdynia;2017;710698
Containers [TEU];Port of Gdynia;2017;21225
Coal & coke;Port of Gdynia;2018;2629
Ores;Port of Gdynia;2018;0
Other bulk goods;Port of Gdynia;2018;1311
Grain;Port of Gdynia;2018;2995
Wood;Port of Gdynia;2018;979
General cargo;Port of Gdynia;2018;13817
Oil;Port of Gdynia;2018;1760
Total;Port of Gdynia;2018;803871
Containers [TEU];Port of Gdynia;2018;23491
Coal & coke;Port of Gdynia;2019;2877
Ores;Port of Gdynia;2019;0
Other bulk goods;Port of Gdynia;2019;1492
Grain;Port of Gdynia;2019;3221
Wood;Port of Gdynia;2019;365
General cargo;Port of Gdynia;2019;14148
Oil;Port of Gdynia;2019;1863
Total;Port of Gdynia;2019;896968
Containers [TEU];Port of Gdynia;2019;23965
Coal & coke;Port of Gdynia;2020;1685
Ores;Port of Gdynia;2020;0
Other bulk goods;Port of Gdynia;2020;1564
Grain;Port of Gdynia;2020;5431
Wood;Port of Gdynia;2020;102
General cargo;Port of Gdynia;2020;14108
Oil;Port of Gdynia;2020;1772
Total;Port of Gdynia;2020;905121
Containers [TEU];Port of Gdynia;2020;24662
Coal & coke;Port of Szczecin;2017;2139
Ores;Port of Szczecin;2017;2483
Other bulk goods;Port of Szczecin;2017;3077
Grain;Port of Szczecin;2017;1462
Wood;Port of Szczecin;2017;16
General cargo;Port of Szczecin;2017;12870
Oil;Port of Szczecin;2017;3378
Total;Port of Szczecin;2017;93579
Containers [TEU];Port of Szczecin;2017;25424
Coal & coke;Port of Szczecin;2018;3440
Ores;Port of Szczecin;2018;3226
Other bulk goods;Port of Szczecin;2018;3373
Grain;Port of Szczecin;2018;1095
Wood;Port of Szczecin;2018;76
General cargo;Port of Szczecin;2018;13431
Oil;Port of Szczecin;2018;3973
Total;Port of Szczecin;2018;81451
Containers [TEU];Port of Szczecin;2018;28614
Coal & coke;Port of Szczecin;2019;3130
Ores;Port of Szczecin;2019;2273
Other bulk goods;Port of Szczecin;2019;3351
Grain;Port of Szczecin;2019;1304
Wood;Port of Szczecin;2019;200
General cargo;Port of Szczecin;2019;17512
Oil;Port of Szczecin;2019;4406
Total;Port of Szczecin;2019;76143
Containers [TEU];Port of Szczecin;2019;32175
Coal & coke;Port of Szczecin;2020;2557
Ores;Port of Szczecin;2020;1685
Other bulk goods;Port of Szczecin;2020;3140
Grain;Port of Szczecin;2020;1876
Wood;Port of Szczecin;2020;104
General cargo;Port of Szczecin;2020;16874
Oil;Port of Szczecin;2020;4942
Total;Port of Szczecin;2020;86816
Containers [TEU];Port of Szczecin;2020;31178
